dataset,recording_id,subject_id,source_file_sha256,annotation_file,annotation_sha256,retained_epochs,reconstructed_first_index,reconstructed_last_index,strictly_increasing_unique,labels_exact_match,signal_label_epoch_invariance,non_boundary_annotations,status
sleep_edf_sc,SC4001E0,SC_00,dcfccecdcebecc9767d82e4339753528545dfe5db2f9d23a8c4ef30aa6ccc4f7,SC4001EC-Hypnogram.edf,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996,2650,0,2649,True,True,True,0,PASS
sleep_edf_sc,SC4002E0,SC_00,93ad61a3b099242672e8889ac872ab75b77de1bbab130bc7b27e9cf505a8a9ba,SC4002EC-Hypnogram.edf,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82,2829,0,2829,True,True,True,0,PASS
sleep_edf_sc,SC4011E0,SC_01,e7ced5911b7270104e30bd27acf8f3bdae8635db42cecf6cc73eca5b13fb4828,SC4011EH-Hypnogram.edf,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83,2802,0,2801,True,True,True,0,PASS
sleep_edf_sc,SC4012E0,SC_01,b94bbf05ac83f7873a7a6ad5320cee12bbb748acfc41c1d454b91a9893fe06e9,SC4012EC-Hypnogram.edf,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e,2848,0,2847,True,True,True,0,PASS
sleep_edf_sc,SC4021E0,SC_02,1b979ef1db1d2511b160d9f9b9fa39dd65615e7bd983d51e168d59217e274d62,SC4021EH-Hypnogram.edf,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8,2804,0,2803,True,True,True,0,PASS
sleep_edf_sc,SC4022E0,SC_02,db783bd76e4458a72a65f4d0bbfbefc60685043d0eae760b53919a212d67afcb,SC4022EJ-Hypnogram.edf,5289ca8a9417307cbbf8b2a4e511909ac742c69d45c17aee7f1731a2a98c49ce,2755,0,2755,True,True,True,0,PASS
sleep_edf_sc,SC4031E0,SC_03,15037f374d03ed6eaac921801dee3cc37e3016659138fa0381e1f6657bb4f68a,SC4031EC-Hypnogram.edf,7ec3d3c8d8f1a89d48df4cc85be374fbdf70d4b5ec5ec321c03d586dd2cc1617,2820,0,2819,True,True,True,0,PASS
sleep_edf_sc,SC4032E0,SC_03,f19ac47d67967174461c0a847ab252374c58b9c74459768a329f8e537d642c03,SC4032EP-Hypnogram.edf,0ef073c5cfba31459732be96cc51e7106d5650c1db1b9669f10c0482844c5641,2732,0,2731,True,True,True,0,PASS
sleep_edf_sc,SC4041E0,SC_04,d40e947834510350a46201d00db004ed6895e809f21a7ff737f12bc3c000a798,SC4041EC-Hypnogram.edf,da33d90216e031a6b04c9ebaddcdf7abc223f1e61fd5899093815c7aea65e39a,2569,0,2569,True,True,True,0,PASS
sleep_edf_sc,SC4042E0,SC_04,4a8190893c01be041a6e0b0239c94c99a3a6b48e39e3fc7b8fe3bcfa708b213b,SC4042EC-Hypnogram.edf,28ece9383d5c49f375a34d63c1226cd0eb8c5a4bb9f887eb80c18caccd3bc544,2788,0,2791,True,True,True,0,PASS
sleep_edf_sc,SC4051E0,SC_05,25bb14ae2256f27a0b3dc757bd2f6b02cfb582c1e198309f94311395a0a6e6e5,SC4051EC-Hypnogram.edf,3551410c52b819efbe6297d333ee729e4f5c7ba11c0cae6d321feee79a39ed43,2722,0,2721,True,True,True,0,PASS
sleep_edf_sc,SC4052E0,SC_05,5e16ad2f23c0d43ce7c2bd9cbcf573d1c37246def263576952935e4b6e34031e,SC4052EC-Hypnogram.edf,4b3f236c98808407386c5c815ee0e2f68330e902dba3b744625981858cb668d9,2804,0,2805,True,True,True,0,PASS
sleep_edf_sc,SC4061E0,SC_06,18ac382b97fb7a79d1334bc457be23b399c2293348d95e90f9a790941a42c90a,SC4061EC-Hypnogram.edf,a99705c2b75462acb6d422681526265e476f0b01708eee2e845d0d89b5aa1ae8,2770,0,2769,True,True,True,0,PASS
sleep_edf_sc,SC4062E0,SC_06,7b1cd33db32a8620ed4e254fdd0492e6f86ef32e0468f5ddaa5a4e2ca034ebc8,SC4062EC-Hypnogram.edf,2f22cf8744e481f3fcb08b22ed884a7b382f5a7d88fea5a13afb6f526ad55e40,2830,0,2829,True,True,True,0,PASS
sleep_edf_sc,SC4071E0,SC_07,7dc87cf86ffb053a97f66aa7e625c6c04bd70a743b385fc26b74ce7b6e8206fa,SC4071EC-Hypnogram.edf,f81cfe51fa83a91096e4ba0538168ada9f604e8cb5f9c40849ebdd22c1cfeafd,2810,0,2809,True,True,True,0,PASS
sleep_edf_sc,SC4072E0,SC_07,7377b86fbd53eebf8210180656042fe0b43744d7e45c5adc02ecf614f32b78db,SC4072EH-Hypnogram.edf,a87fa7816b6b5c82b2d4d1f9d4b7ff3984232ab2af2a54eeb4b705cfba446f5a,2770,0,2769,True,True,True,0,PASS
sleep_edf_sc,SC4081E0,SC_08,de212a54614749c666c34bbff30577e98151139ccc76f3de05599e4a8542d833,SC4081EC-Hypnogram.edf,626b6c685079aa3d185f7af69098b973940733e0cbe9c5d7435495afafdcca2f,2796,0,2795,True,True,True,0,PASS
sleep_edf_sc,SC4082E0,SC_08,3e7febacd212fb55f9500da0be9a6fd1d9bb97ae1bef661c57a8db7b952092f6,SC4082EP-Hypnogram.edf,6e51f4ff704d9d0d82fdfd0faf32fa746c596a7f9647708ca5e7a3c0736ac841,2634,0,2633,True,True,True,0,PASS
sleep_edf_sc,SC4091E0,SC_09,475cbf30758d045e00558d3d57a7351083ad06a34d773617983827db8e52aad6,SC4091EC-Hypnogram.edf,6200f80f2314fc7aefc05c1c7a745776d2631f20115d818b6dcecae663c590d9,2721,0,2731,True,True,True,0,PASS
sleep_edf_sc,SC4092E0,SC_09,82af87fbd7657d753d269a298489317aa76402a5cae960fda0be4cd9e12770c5,SC4092EC-Hypnogram.edf,d8798c39a56fafbfbb54b371308e4f87913582666fabb3e4b8d765bf0fc4eb21,2044,0,2857,True,True,True,0,PASS
sleep_edf_sc,SC4101E0,SC_10,d15add6c08e0d385f821f59da27b5bd715d1d4e876c6e45c0c4801cf2696159a,SC4101EC-Hypnogram.edf,1dc87ff1ee449fd66c3254df2073a66c4e1e902ec11143434a82db30eb1622d7,2719,0,2719,True,True,True,0,PASS
sleep_edf_sc,SC4102E0,SC_10,720a6fa0e16cedd59f5fbc739ec0b8f9f8b41478cf7a161588bd5dd4aacec64e,SC4102EC-Hypnogram.edf,b87e8a1e4068d0f6784bfd36c5c6fefbf852418941ed6491e50d1ba4e2376f8e,2857,0,2857,True,True,True,0,PASS
sleep_edf_sc,SC4111E0,SC_11,ed23509f76b126e5710d6193352b821f8595afdc6369a4e21268bf6136c27aa2,SC4111EC-Hypnogram.edf,da132682072ae2998ef82d3737a3220685e2483b90cf7042ae819cce675cd6d6,2641,0,2641,True,True,True,0,PASS
sleep_edf_sc,SC4112E0,SC_11,0af29aa164b0387327811efa68cb6131f498fbd6f3f44ff13d23520d60313210,SC4112EC-Hypnogram.edf,fbba528361798834f24b7476672ef4958cb695ff9d17c6ea48117c266491a3d3,2780,0,2779,True,True,True,0,PASS
sleep_edf_sc,SC4121E0,SC_12,5a6fa2e57bf003095636ddb4a3cb2cc9fd43a3bc90477d325e0a42110cfe82c0,SC4121EC-Hypnogram.edf,ad90e2e20a9ee3d61e8434f2c2efab49583b31c6ed8350157535a5cb085c88ad,2685,0,2684,True,True,True,0,PASS
sleep_edf_sc,SC4122E0,SC_12,ecfc998d4551b746262e36bfba9861835f3cf20d6ee497c11d70e4983864697d,SC4122EV-Hypnogram.edf,47a19bf81c9bb6d16afc8f3f7296324420d07bd144372abb97e7aac5637a093c,2606,0,2605,True,True,True,0,PASS
sleep_edf_sc,SC4131E0,SC_13,d75a00383caf17fd2876c7320cfe23d556c252bfe5658ac569d9b2dcf564134d,SC4131EC-Hypnogram.edf,d724153bfa0c4267ced28cc975025e5674e13e2ce4e1f751cad6a30e549f9232,2814,0,2813,True,True,True,0,PASS
sleep_edf_sc,SC4141E0,SC_14,a262e02a6cd36f9d36ff5d3b331d54cc3efc3fd42d27a5fd418ef2c18b6d99fc,SC4141EU-Hypnogram.edf,1e8dc03d9a2159752db262cc5ef1b3140f147445de969b9820292eb3861e2b32,2756,0,2755,True,True,True,0,PASS
sleep_edf_sc,SC4142E0,SC_14,d058349c046197cbce36885e4d3062123f81551c3296f7bbcfc7be9aabd30963,SC4142EU-Hypnogram.edf,a0e130492b73876fd7cb6a1607a9f83dea31428e14fbba6ebcf28a771aecf3bb,2774,0,2773,True,True,True,0,PASS
sleep_edf_sc,SC4151E0,SC_15,e8c2870b4934374ebe798038d7cc1991f17e8c5505bea11362e17f68c9d11945,SC4151EC-Hypnogram.edf,72e8bf03e6400baac7af5980c340450ebe59a97fca1f5f7ddbe1c94464ddfbf9,2616,0,2619,True,True,True,0,PASS
sleep_edf_sc,SC4152E0,SC_15,06b7b07229e08c4bc7c0357142fa12d2236ae5e32cf4b4beeb4370b902bcb79e,SC4152EC-Hypnogram.edf,299112b745b5caf02a95ea00c7cc0b007c0f6fe5ce317d2d52d77011bc16f095,2859,0,2863,True,True,True,0,PASS
sleep_edf_sc,SC4161E0,SC_16,0b2be79da98d8fa39e414ed42831256480475c319215c123d467e72a048ff40e,SC4161EC-Hypnogram.edf,407ff5ffa150e618c90ab27dc64e459312b6a05352fd7c39b98cc2d34fc7846f,2621,0,2625,True,True,True,0,PASS
sleep_edf_sc,SC4162E0,SC_16,086397dd533f88d157b59f495e2a2861f0521f3698e4a99d42cfd9102cdd9ebb,SC4162EC-Hypnogram.edf,a2c9b668ff1a85d607e49ea092f8def51f9c139d4add01b0033dccdcf09c01ba,2750,0,2751,True,True,True,0,PASS
sleep_edf_sc,SC4171E0,SC_17,5b1b2b29d65a74b4539b296130f5f8194f73a82512681b098f844fbfabfb0d2e,SC4171EU-Hypnogram.edf,648653db6ced819f659c8cb3cbd3952a60cac1705b87209fd033268b6b38b749,2741,0,2741,True,True,True,0,PASS
sleep_edf_sc,SC4172E0,SC_17,acd7d8bd937606a1c3d442f60375dd0cd082f63daf9b4fbb91540187136a6508,SC4172EC-Hypnogram.edf,77dd452951e38478a061d5c7f03528670e8eb943091856db3b86ac690229af5f,2720,0,2723,True,True,True,0,PASS
sleep_edf_sc,SC4181E0,SC_18,f2afa5dc9715fccf2166fc26362a55ce87c97f13f5e9a0bff3b4144828dda5b8,SC4181EC-Hypnogram.edf,9091676b473587c7ec9d35d64464cc0ad3890b6b010418b62aa00d8b6801c5c1,2756,0,2755,True,True,True,0,PASS
