dataset,subject_id,recording_id,source_role_contract,path,epoch_count,index_sha256,signal_reference_sha256,strictly_increasing,labels_finite,status
sleep_edf_sc,SC_00,SC4001E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4001E0__core_v1.npz,2650,1e8a39a02e29d2c8a08c76183b9784bd1442653719a2a32884e845afb4cad942,429174a1476eecfe2b6221b518002a4e35ab46239cb70dadd4ab03b099884aad,True,True,PASS
sleep_edf_sc,SC_00,SC4002E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4002E0__core_v1.npz,2829,2e6d04e55c3a677ff5cb4a17335d8c25d996247c5464369d5636dfba7eaa0f69,1a6983068fa5439f15e2c51c9a0aba7326e765d201af89b7cb015c067cb0eba3,True,True,PASS
sleep_edf_sc,SC_01,SC4011E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4011E0__core_v1.npz,2802,54ff0529c835a19c3593eeea3102e3c8c827e96909ec5b09f30d99e2d59bc51d,f6b8af930d093b07d7112fa9b8a41b1ecd111e6312c3603abcc38b8c2f4e12b1,True,True,PASS
sleep_edf_sc,SC_01,SC4012E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4012E0__core_v1.npz,2848,ac571fa0fd8358ef19bd0f26f6033c33d1d22b5d5d7433b7bb9f1b351bbc6b95,1dfe0dd73f9659835b1b47afd9813cdcf1177cf2425b6e6d9fc3b8dad235e829,True,True,PASS
sleep_edf_sc,SC_02,SC4021E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4021E0__core_v1.npz,2804,2b869eb5977c38c6d54e654e3fe1af1790a2f4a64c8e76cea263d1d026f3efef,9b0414a0a91ddb934d6f0a92abe3fc175fbbf46dff4645a8e7bae12857f4a054,True,True,PASS
sleep_edf_sc,SC_02,SC4022E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4022E0__core_v1.npz,2755,bca2551421d3ad340ff27badcf3c31d23414de5bd94670851ec5a2f85557158d,a1abcb1cc8ec1b4dbd44286b744b8a1524399cf2dbf2a747cf7480b669944ed9,True,True,PASS
sleep_edf_sc,SC_03,SC4031E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4031E0__core_v1.npz,2820,aff6c231c12e69f1704adb07c38b01a33cddf84dc28401d91b74faac66e82117,b20c482de4f55d752898f2918522c886b9a568df6bfbe802053694fe59ec8a26,True,True,PASS
sleep_edf_sc,SC_03,SC4032E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4032E0__core_v1.npz,2732,425aac88173311836ebfd5a942cf8f94c1c1f7894513c8dfe57ea002e6af0445,58076800b27fc77e5e8591e7f4ff786ca51a266aaea4da67468140f6d669d325,True,True,PASS
sleep_edf_sc,SC_04,SC4041E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4041E0__core_v1.npz,2569,49533ea33afe91652946de171b42a76134c9235fc270b87a2c5a6537d63e29ea,fcd24c47e18efca94e459161e8538f9d8c7ad3edd4b25a4c42ff55fd706b51f9,True,True,PASS
sleep_edf_sc,SC_04,SC4042E0,OVERLAY_ONLY,artifacts\remediation\ledger_repair\sleepedf_epoch_ledger_v2\sleep_edf_sc__SC4042E0__core_v1.npz,2788,b082b759d81c1ea74a1ce80b2bd49074a3e4d13e5a1a65ae8f74b59d86fdb377,5b205fc5fef30555b1912839a3af452ab88fc2cda82c4cfd04ee27967b2afb6e,True,True,PASS
