subject_id,montage_variant,signal,median_uv,mad_uv,iqr_uv,recording_duration_seconds,valid_epoch_count,finite
I001,ISRUC_A1A2,eeg,0.17394372820854187,1.8987183570861816,3.9510436356067657,26400.0,880,PASS
I001,ISRUC_A1A2,eog,-0.0049626752734184265,0.7251058220863342,1.4502875208854675,26400.0,880,PASS
I002,ISRUC_A1A2,eeg,-0.00871800072491169,0.7414640188217163,1.482892170548439,28920.0,964,PASS
I002,ISRUC_A1A2,eog,-0.014701379463076591,0.7185256481170654,1.4392595142126083,28920.0,964,PASS
I003,ISRUC_A1A2,eeg,-0.000768195022828877,0.739365816116333,1.478624552488327,28290.0,943,PASS
I003,ISRUC_A1A2,eog,0.0003344978322274983,0.8280418515205383,1.6560752242803574,28290.0,943,PASS
I004,ISRUC_A1A2,eeg,-0.002143796533346176,1.0720200538635254,2.1442989110946655,28890.0,963,PASS
I004,ISRUC_A1A2,eog,0.011264507658779621,0.8935825824737549,1.7874876260757446,28890.0,963,PASS
I005,ISRUC_A1A2,eeg,0.004205761477351189,0.7501163482666016,1.500241070985794,26250.0,875,PASS
I005,ISRUC_A1A2,eog,0.017600515857338905,0.8591830730438232,1.7185067385435104,26250.0,875,PASS
I006,ISRUC_A1A2,eeg,-0.018180493265390396,0.7428300380706787,1.4863080531358719,26910.0,897,PASS
I006,ISRUC_A1A2,eog,0.023846358060836792,1.2035071849822998,2.4093761444091797,26910.0,897,PASS
I007,ISRUC_A1A2,eeg,-0.0026935781352221966,0.6177352666854858,1.2355173528194427,27990.0,933,PASS
I007,ISRUC_A1A2,eog,0.006290791556239128,0.6462926864624023,1.2928049266338348,27990.0,933,PASS
I008,ISRUC_A1A2,eeg,0.000501922913827002,0.7585283517837524,1.5170846432447433,27120.0,904,PASS
I008,ISRUC_A1A2,eog,0.025312423706054688,0.6535137891769409,1.3077959269285202,27120.0,904,PASS
I009,ISRUC_A1A2,eeg,0.0020638289861381054,0.8643221259117126,1.7285521030426025,29070.0,969,PASS
I009,ISRUC_A1A2,eog,0.0026073274202644825,0.9354895353317261,1.8710729479789734,29070.0,969,PASS
I010,ISRUC_A1A2,eeg,0.0013892726274207234,0.9373819231987,1.8748030364513397,25260.0,842,PASS
I010,ISRUC_A1A2,eog,0.006147351115942001,0.9950319528579712,1.9901065528392792,25260.0,842,PASS
I011,ISRUC_M1M2,eeg,-0.0006405417807400227,8.14057731628418,16.280890703201294,29910.0,997,PASS
I011,ISRUC_M1M2,eog,-0.005503496155142784,8.715655326843262,17.431496620178223,29910.0,997,PASS
I012,ISRUC_A1A2,eeg,-0.009361391887068748,0.7456957101821899,1.4914161413908005,25500.0,850,PASS
I012,ISRUC_A1A2,eog,-0.00411225575953722,0.6277196407318115,1.2554556280374527,25500.0,850,PASS
I013,ISRUC_M1M2,eeg,0.13796189427375793,4.663159370422363,9.329105854034424,26460.0,882,PASS
I013,ISRUC_M1M2,eog,0.24190957844257355,4.688352584838867,9.383628964424133,26460.0,882,PASS
I014,ISRUC_M1M2,eeg,0.09696096926927567,9.759859085083008,19.519554615020752,27180.0,906,PASS
I014,ISRUC_M1M2,eog,0.007330775260925293,10.807647705078125,21.616533994674683,27180.0,906,PASS
I015,ISRUC_A1A2,eeg,0.000896271551027894,0.7211763858795166,1.4423491805791855,23580.0,786,PASS
I015,ISRUC_A1A2,eog,-0.0028254231438040733,0.4751698970794678,0.9503759667277336,23580.0,786,PASS
I016,ISRUC_A1A2,eeg,0.0026309909299016,1.0092103481292725,2.018641948699951,26490.0,883,PASS
I016,ISRUC_A1A2,eog,0.007714796345680952,0.8157050013542175,1.6315180361270905,26490.0,883,PASS
I017,ISRUC_M1M2,eeg,0.058421991765499115,9.79510498046875,19.590489864349365,25530.0,851,PASS
I017,ISRUC_M1M2,eog,0.011187846772372723,8.69842529296875,17.396910190582275,25530.0,851,PASS
I018,ISRUC_A1A2,eeg,0.007497287355363369,0.6884390115737915,1.3768758475780487,29970.0,999,PASS
I018,ISRUC_A1A2,eog,0.003949583042412996,0.46673882007598877,0.9334899410605431,29970.0,999,PASS
I019,ISRUC_M1M2,eeg,0.07176458090543747,9.404441833496094,18.80958867073059,24840.0,828,PASS
I019,ISRUC_M1M2,eog,0.09840695559978485,8.49146842956543,16.98825430870056,24840.0,828,PASS
I020,ISRUC_M1M2,eeg,0.11034362018108368,9.630565643310547,19.264568567276,28500.0,950,PASS
I020,ISRUC_M1M2,eog,0.18497908115386963,10.137003898620605,20.278382778167725,28500.0,950,PASS
I021,ISRUC_M1M2,eeg,0.3021392226219177,8.293096542358398,16.60256338119507,31620.0,1054,PASS
I021,ISRUC_M1M2,eog,0.2420956790447235,9.87214469909668,19.743976831436157,31620.0,1054,PASS
I022,ISRUC_A1A2,eeg,0.00547800911590457,0.8360083699226379,1.672057181596756,25470.0,849,PASS
I022,ISRUC_A1A2,eog,0.008109789341688156,1.155731439590454,2.311943531036377,25470.0,849,PASS
I023,ISRUC_M1M2,eeg,-0.3037896156311035,12.983901023864746,25.967896223068237,26760.0,892,PASS
I023,ISRUC_M1M2,eog,-0.5076565146446228,12.647252082824707,25.29501461982727,26760.0,892,PASS
I024,ISRUC_A1A2,eeg,0.0011033382033929229,1.2521861791610718,2.504419684410095,24900.0,830,PASS
I024,ISRUC_A1A2,eog,0.021894965320825577,1.1367850303649902,2.27364319562912,24900.0,830,PASS
I025,ISRUC_M1M2,eeg,0.2651793360710144,19.528650283813477,39.063955307006836,27630.0,921,PASS
I025,ISRUC_M1M2,eog,0.38226455450057983,20.275714874267578,40.550549030303955,27630.0,921,PASS
I026,ISRUC_A1A2,eeg,0.00407935306429863,0.5267671346664429,1.0535451918840408,31860.0,1062,PASS
I026,ISRUC_A1A2,eog,0.00519179180264473,0.45155465602874756,0.9031750932335854,31860.0,1062,PASS
I027,ISRUC_M1M2,eeg,-0.16033852100372314,10.522528648376465,21.045560598373413,27540.0,918,PASS
I027,ISRUC_M1M2,eog,-0.2945762276649475,11.05048942565918,22.123303651809692,27540.0,918,PASS
I028,ISRUC_M1M2,eeg,0.047587212175130844,12.372456550598145,24.745249032974243,26460.0,882,PASS
I028,ISRUC_M1M2,eog,0.07581323385238647,12.953527450561523,25.908544778823853,26460.0,882,PASS
I029,ISRUC_M1M2,eeg,0.04105570539832115,10.097153663635254,20.195521116256714,27360.0,912,PASS
I029,ISRUC_M1M2,eog,0.1285993456840515,11.300477981567383,22.600760459899902,27360.0,912,PASS
