dataset,subject_id,recording_id,provider_url,http_status,provider_content_length,local_bytes,edf_declared_bytes,byte_delta,checksum_status,header_valid,body_valid,terminal_status,failure_code
sleep_edf_sc,SC_01,SC4012E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,EXISTING_VALID,51986048,51986048,51986048,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_05,SC4052E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4052E0-PSG.edf,EXISTING_VALID,51183488,51183488,51183488,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_09,SC4092E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4092E0-PSG.edf,200,52131968,52131968,52131968,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_14,SC4141E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4141E0-PSG.edf,200,50271488,50271488,50271488,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_18,SC4181E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4181E0-PSG.edf,200,50271488,50271488,50271488,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_22,SC4221E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4221E0-PSG.edf,200,49250048,49250048,49250048,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_26,SC4261F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4261F0-PSG.edf,200,51074048,51074048,51074048,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_30,SC4301E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4301E0-PSG.edf,200,48265088,48265088,48265088,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_34,SC4341F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4341F0-PSG.edf,200,50162048,50162048,50162048,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_38,SC4382F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4382F0-PSG.edf,200,50526848,50526848,50526848,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_43,SC4432E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4432E0-PSG.edf,200,50709248,50709248,50709248,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_47,SC4472F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4472F0-PSG.edf,200,50891648,50891648,50891648,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_51,SC4512E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4512E0-PSG.edf,200,50162048,50162048,50162048,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_56,SC4561F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4561F0-PSG.edf,200,49323008,49323008,49323008,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_60,SC4601E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4601E0-PSG.edf,200,49797248,49797248,49797248,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_64,SC4641E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4641E0-PSG.edf,200,48885248,48885248,48885248,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_70,SC4701E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4701E0-PSG.edf,200,48885248,48885248,48885248,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_74,SC4741E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4741E0-PSG.edf,200,49067648,49067648,49067648,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_80,SC4801G0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4801G0-PSG.edf,200,50599808,50599808,50599808,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I003,I003,https://data.nemar.org/nm000111/v1.0.1/sub-I003/eeg/sub-I003_task-sleep_eeg.edf,EXISTING_VALID,154185620,154185620,154185620,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I011,I011,https://data.nemar.org/nm000111/v1.0.1/sub-I011/eeg/sub-I011_task-sleep_eeg.edf,200,198907900,198907900,198907900,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I019,I019,https://data.nemar.org/nm000111/v1.0.1/sub-I019/eeg/sub-I019_task-sleep_eeg.edf,200,144077120,144077120,144077120,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I027,I027,https://data.nemar.org/nm000111/v1.0.1/sub-I027/eeg/sub-I027_task-sleep_eeg.edf,200,149409620,149409620,149409620,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I035,I035,https://data.nemar.org/nm000111/v1.0.1/sub-I035/eeg/sub-I035_task-sleep_eeg.edf,200,137117120,137117120,137117120,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I043,I043,https://data.nemar.org/nm000111/v1.0.1/sub-I043/eeg/sub-I043_task-sleep_eeg.edf,200,122139876,122139876,122139876,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I051,I051,https://data.nemar.org/nm000111/v1.0.1/sub-I051/eeg/sub-I051_task-sleep_eeg.edf,200,139961376,139961376,139961376,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I059,I059,https://data.nemar.org/nm000111/v1.0.1/sub-I059/eeg/sub-I059_task-sleep_eeg.edf,200,165326376,165326376,165326376,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I067,I067,https://data.nemar.org/nm000111/v1.0.1/sub-I067/eeg/sub-I067_task-sleep_eeg.edf,200,151286376,151286376,151286376,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I075,I075,https://data.nemar.org/nm000111/v1.0.1/sub-I075/eeg/sub-I075_task-sleep_eeg.edf,200,146828376,146828376,146828376,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I083,I083,https://data.nemar.org/nm000111/v1.0.1/sub-I083/eeg/sub-I083_task-sleep_eeg.edf,200,151242876,151242876,151242876,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I091,I091,https://data.nemar.org/nm000111/v1.0.1/sub-I091/eeg/sub-I091_task-sleep_eeg.edf,200,161870376,161870376,161870376,0,MATCH,PASS,PASS,ACQUIRED,
