experiment_id,condition,metric,probability_variant,point_estimate,seed_sd,ci95_low,ci95_high,subject_count,epoch_count,bootstrap_unit,bootstrap_replicates
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,UNCALIBRATED,0.7479975565180403,0.006113165372126203,0.7004930927276989,0.7741546814073377,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,NLL,UNCALIBRATED,0.22027111064291127,0.005276166937034642,0.18315395134501009,0.26221640528203544,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,Brier,UNCALIBRATED,0.11686707174564977,0.0022233661598267435,0.09656731169769785,0.138939228538605,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,UNCALIBRATED,0.9411976019115,0.0006434413213705696,0.9327138459059244,0.9485767857903781,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,UNCALIBRATED,0.512446913898147,0.004437236469804848,0.4899222164179091,0.5403578941548569,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,AURC,UNCALIBRATED,0.008754427262024453,0.0002217785655679878,0.006032105180583637,0.012347608382109734,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,coverage_0.1,UNCALIBRATED,0.9995776636119595,4.3679038434205484e-05,0.999399592540354,0.9997476751214968,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.1,UNCALIBRATED,-0.09957766361195959,4.3679038434205484e-05,-0.09974767512149679,-0.09939959254035406,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,coverage_0.05,UNCALIBRATED,0.9995834490419329,3.471257983894693e-05,0.99940208624042,0.99975458242213,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.05,UNCALIBRATED,-0.04958344904193283,3.471257983894693e-05,-0.04975458242213013,-0.04940208624042021,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C1,macro-F1,UNCALIBRATED,0.6633590456109645,0.0028418074905612726,0.6010264821308611,0.6985801794425718,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C1,NLL,UNCALIBRATED,0.28017133608030936,0.002779776054874943,0.23150106516411773,0.3313386980126599,11,57616,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C1,Brier,UNCALIBRATED,0.14618956846761366,0.0001509574658355768,0.12099891117876926,0.1718200687535913,11,57616,SUBJECT,2000
