dataset,recording_id,output_exists,hash_exists,hash_valid,shape_valid,labels_valid,metadata_versions_valid,source_provenance_available,status
sleep_edf_sc,SC4001E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4002E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4011E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4012E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4021E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4022E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4031E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4032E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4041E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4042E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4051E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4052E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4061E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4062E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4071E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4072E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4081E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4082E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4091E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4092E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4101E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4102E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4111E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4112E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4121E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4122E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4131E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4141E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4142E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4151E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4152E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4161E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4162E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4171E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4172E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4181E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4182E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4191E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4192E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4201E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4202E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4211E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4212E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4221E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4222E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4231E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4232E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4241E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4242E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4251E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4252E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4261F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4262F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4271F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4272F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4281G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4282G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4291G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4292G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4301E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4302E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4311E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4312E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4321E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4322E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4331F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4332F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4341F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4342F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4351F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4352F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4362F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4371F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4372F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4381F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4382F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4401E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4402E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4411E0,True,True,True,True,True,True,True,PASS
